# DC Glow Discharge Radial Solver — Air Plasma
# Cathode radius   : 23.145 mm
# Chamber radius   : 140.0 mm
# Current          : 20.00 mA
# Cathode voltage  : -550.0 V
# Pressure         : 0.0400 Torr
# Gas              : Air (80% N2 / 20% O2)
#
# Columns
#   r_m    — radial position [m]
#   r_mm   — radial position [mm]
#   ne_m3  — electron density [m^-3]
#   ne_cm3 — electron density [cm^-3]
#   ni_m3  — ion density [m^-3]
#   ni_cm3 — ion density [cm^-3]
#   Te_eV  — electron temperature [eV]
#   phi_V  — electric potential [V]
#   E_Vm   — radial electric field [V/m]
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
5.916797e-02,59.1680,1.339195e+16,1.339195e+10,1.382240e+16,1.382240e+10,1.3351,-266.3158,-3294.6814
5.946084e-02,59.4608,1.338780e+16,1.338780e+10,1.381540e+16,1.381540e+10,1.3341,-265.3509,-3294.6814
5.975371e-02,59.7537,1.338347e+16,1.338347e+10,1.380826e+16,1.380826e+10,1.3331,-264.3860,-3294.6814
6.004658e-02,60.0466,1.337897e+16,1.337897e+10,1.380096e+16,1.380096e+10,1.3321,-263.4211,-3294.6814
6.033945e-02,60.3394,1.337430e+16,1.337430e+10,1.379353e+16,1.379353e+10,1.3311,-262.4561,-3294.6814
6.063232e-02,60.6323,1.336945e+16,1.336945e+10,1.378595e+16,1.378595e+10,1.3301,-261.4912,-3294.6814
6.092519e-02,60.9252,1.336443e+16,1.336443e+10,1.377823e+16,1.377823e+10,1.3291,-260.5263,-3294.6814
6.121806e-02,61.2181,1.335925e+16,1.335925e+10,1.377037e+16,1.377037e+10,1.3282,-259.5614,-3294.6814
6.151093e-02,61.5109,1.335390e+16,1.335390e+10,1.376237e+16,1.376237e+10,1.3272,-258.5965,-3294.6814
6.180380e-02,61.8038,1.334840e+16,1.334840e+10,1.375424e+16,1.375424e+10,1.3263,-257.6316,-3294.6814
6.209667e-02,62.0967,1.334273e+16,1.334273e+10,1.374598e+16,1.374598e+10,1.3253,-256.6667,-3294.6814
6.238954e-02,62.3895,1.333691e+16,1.333691e+10,1.373759e+16,1.373759e+10,1.3244,-255.7018,-3294.6814
6.268241e-02,62.6824,1.333093e+16,1.333093e+10,1.372907e+16,1.372907e+10,1.3235,-254.7368,-3294.6814
6.297528e-02,62.9753,1.332480e+16,1.332480e+10,1.372042e+16,1.372042e+10,1.3226,-253.7719,-3294.6814
6.326815e-02,63.2681,1.331851e+16,1.331851e+10,1.371164e+16,1.371164e+10,1.3217,-252.8070,-3294.6814
6.356102e-02,63.5610,1.331208e+16,1.331208e+10,1.370275e+16,1.370275e+10,1.3208,-251.8421,-3294.6814
6.385388e-02,63.8539,1.330551e+16,1.330551e+10,1.369373e+16,1.369373e+10,1.3200,-250.8772,-3294.6814
6.414675e-02,64.1468,1.329879e+16,1.329879e+10,1.368459e+16,1.368459e+10,1.3191,-249.9123,-3294.6814
6.443962e-02,64.4396,1.329193e+16,1.329193e+10,1.367533e+16,1.367533e+10,1.3182,-248.9474,-3294.6814
6.473249e-02,64.7325,1.328492e+16,1.328492e+10,1.366596e+16,1.366596e+10,1.3174,-247.9825,-3294.6814
6.502536e-02,65.0254,1.327778e+16,1.327778e+10,1.365647e+16,1.365647e+10,1.3165,-247.0175,-3294.6814
6.531823e-02,65.3182,1.327051e+16,1.327051e+10,1.364687e+16,1.364687e+10,1.3157,-246.0526,-3294.6814
6.561110e-02,65.6111,1.326309e+16,1.326309e+10,1.363715e+16,1.363715e+10,1.3149,-245.0877,-3294.6814
6.590397e-02,65.9040,1.325555e+16,1.325555e+10,1.362733e+16,1.362733e+10,1.3141,-244.1228,-3294.6814
6.619684e-02,66.1968,1.324788e+16,1.324788e+10,1.361740e+16,1.361740e+10,1.3133,-243.1579,-3294.6814
6.648971e-02,66.4897,1.324007e+16,1.324007e+10,1.360736e+16,1.360736e+10,1.3125,-242.1930,-3294.6814
6.678258e-02,66.7826,1.323214e+16,1.323214e+10,1.359721e+16,1.359721e+10,1.3117,-241.2281,-3294.6814
6.707545e-02,67.0755,1.322409e+16,1.322409e+10,1.358696e+16,1.358696e+10,1.3109,-240.2632,-3294.6814
6.736832e-02,67.3683,1.321591e+16,1.321591e+10,1.357661e+16,1.357661e+10,1.3101,-239.2982,-3294.6814
6.766119e-02,67.6612,1.320761e+16,1.320761e+10,1.356615e+16,1.356615e+10,1.3093,-238.3333,-3294.6814
6.795406e-02,67.9541,1.319919e+16,1.319919e+10,1.355560e+16,1.355560e+10,1.3086,-237.3684,-3294.6814
6.824693e-02,68.2469,1.319065e+16,1.319065e+10,1.354495e+16,1.354495e+10,1.3078,-236.4035,-3294.6814
